,date,sum,>100,80-100,60-80,50-60,40-50,30-40,20-30
0,20231130,170,0,5,7,7,15,34,102
1,20231201,132,1,4,5,11,9,26,76
2,20231204,124,2,2,8,4,12,25,71
3,20231205,104,2,3,4,4,11,17,63
4,20231206,123,5,1,3,5,14,28,67
5,20231207,109,2,3,8,3,7,21,65
6,20231208,87,2,2,7,2,7,9,58
7,20231211,105,3,0,9,2,8,13,70
8,20231212,119,4,2,6,2,9,22,74
9,20231213,108,4,4,6,4,5,21,64
10,20231214,90,3,3,4,6,5,14,55
11,20231215,76,3,4,6,4,4,17,38
12,20231218,70,1,4,5,6,8,7,39
13,20231219,61,2,3,6,4,8,12,26
14,20231220,61,1,3,5,3,12,10,27
15,20231221,78,2,1,5,2,10,12,46
16,20231222,57,1,3,1,4,5,14,29
17,20231225,55,2,1,3,4,8,9,28
18,20231226,61,2,2,5,2,10,13,27
19,20231227,66,2,0,3,7,11,10,33
20,20231228,61,0,2,6,0,9,15,29
21,20231229,73,1,1,5,6,8,12,40
